name,type,country,founded,born,died
Will Young,artist,United Kingdom,,1979,
No Authority,band,United States,,,
Betchadupa,band,New Zealand,1997,,
Kosheen,band,United Kingdom,1998,,
Max Roach,artist,United States,,1924,
Archie Roach,artist,Australia,,,
Michelle Wright,artist,Canada,,,
Swans,band,United States,1982,,
Belly,band,United States,1992,,
Bill Evans,artist,United States,,1929,1980
Fairport Convention,band,United Kingdom,1967,,
Peter and Gordon,band,England,,,
Corrosion of Conformity,band,,,,
JD Arnold,artist,United States,,,
Bill Haley and the Comets,band,United States,1955,,
Savatage,band,United States,,,
Tish Hinojosa,artist,United States,,,
King Crimson,band,England,1969,,
Jurassic 5,band,United States,1993,,
A Tribe Called Quest,band,United States,,,
Michael Penn,artist,United States,,,
Babe the Blue Ox,band,United States,1991,,
Peter Criss,artist,United States,,1945,
Dennis DeYoung,artist,United States,,,
Biffy Clyro,band,Scotland,,,
Suns Of March,band,,,,
Taxiride,band,,,,
Lee Aaron,artist,Canada,,1962,
Armand Van Helden,artist,United States,,,
The Softies,band,United States,,,
Kenny Wayne Shepherd,artist,United States,,,
The Mods,band,United States,1963,,
Blackfoot Sue,band,England,1967,,
The Innocence Mission,band,United States,,,
Lamb Of God,band,United States,,,
Bing Crosby,artist,United States,,1903,1977
Thomas Dolby,artist,England,,,
Praga Khan,artist,Belgium,,,
Invergordon Distillery Pipe Band,band,Scotland,1965,,
Secrets In Stereo,artist,,,,
David Cross,artist,England,,,
Wideawake,band,,,,
Skyhooks,band,Australia,,,
Circle of Wagons,band,,,,
Extreme,band,United States,1985,,
King Prawn,band,United Kingdom,1993,,
Shawn Colvin,artist,United States,,,
Karyn White,artist,United States,,,
Killswitch Engage,band,United States,1999,,
Heavy,band,United States,1995,,
Teresa Brewer,artist,United States,,1931,
Streak,band,United States,,,
Tom Wopat,artist,United States,,,
The Impossibles,band,United States,,,
Charlie Musselwhite,artist,United States,,,
Jeniphoria,band,United States,1993,,
Embrace,band,England,,,
